SID,Grade,Selection 1,Selection 2,Selection 3,Selection 4,Selection 5
85392,9,Boyer (E6),Phillips (A7),Maddox (B11),Dehnbostel (J13),Preciado (F3)
85323,9,Mauritz (C8),L. Allpress (J7),Murphy (F5),Byron (C1),Krider (C5)
43554,9,"McCarthy, Harrold, Kohnke (New Gym)",McBee (K1),R. Jones (T3),Brumbaugh (T2),DeLuca (J14)
43549,9,Mowbray (T4),McBee (K1),Karvis & Crow (H1),Alickovic (K5),Krider (C5)
43544,9,Alvidrez (C2),Garcia (B8),Huff (E3),Bando (C4),Howard (N1)
43543,9,Miller (A4),Garcia (B8),Huff (E3),Davis (D4),Mauritz (C8)
43541,9,Espinoza (D5),Doughty (F4),Miller (A4),Mowbray (T4),Brumbaugh (T2)
43539,9,Davis (D4),McQuade (Old Gym),Phillips (A7),Littrell (A1),Edwards (K3)
43533,9,Byron (C1),Murphy (F5),L. Allpress (J7),McBee (K1),DeLuca (J14)
43529,9,Poole (J2),Miller (A4),Martin (J6),L. Allpress (J7),Bando (C4)
43528,9,Bando (C4),Garcia (B8),Ferguson (E2),R. Jones (T3),Boyer (E6)
43527,9,Martin (J6),Murphy (F5),Siau (H4) **ROTC CADETS ONLY**,Martin (J6),Brumbaugh (T2)
43525,9,Murphy (F5),Espinoza (D5),Bando (C4),Davis (D4),Boyer (E6)
43524,9,Brumbaugh (T2),Rodriguez (D1),Hoover (B23),Littrell (A1),Doughty (F4)
43514,9,Mauritz (C8),Byron (C1),Bando (C4),Rodriguez (D1),Carrera (F7)
43497,9,Byron (C1),Van Buren (T1),Hudson (F2),Clements (J8) **ROTC CADETS ONLY**,Davis (D4)
43491,9,Rodriguez (D1),Boyer (E6),Hudson (F2),Mowbray (T4),Reyes (D3)
43490,9,Vezey (Band Room),Vezey (Band Room),Nightingale (K4),Miller (A4),Poole (J2)
43489,9,Boyer (E6),Mauritz (C8),"McCarthy, Harrold, Kohnke (New Gym)",Dehnbostel (J13),R. Jones (T3)
43488,9,Howard (N1),Phillips (A7),Garcia (B8),Krider (C5),Espinoza (D5)
43484,9,Garcia (B8),Phillips (A7),Miller (A4),Vezey (Band Room),Carrera (F7)
43480,9,Vezey (Band Room),Nightingale (K4),Jeffery (B2) **Credit Recovery Students Only**,Krupin (H4),Rodriguez (D1)
43475,9,Nightingale (K4),Reyes (D3),Huff (E3),Krupin (H4),Reyes (D3)
43474,9,Bando (C4),Karvis & Crow (H1),Siau (H4) **ROTC CADETS ONLY**,Mowbray (T4),Vezey (Band Room)
43469,9,Clements (J8) **ROTC CADETS ONLY**,Secor (D8),Garcia (B8),Nightingale (K4),Alickovic (K5)
43460,9,Clements (J8) **ROTC CADETS ONLY**,Siau (H4) **ROTC CADETS ONLY**,Van Buren (T1),J. Gonzalez (Black Box/Auditorium),Boyer (E6)
43458,9,Krider (C5),Espinoza (D5),Rodriguez (D1),J. Gonzalez (Black Box/Auditorium),Mowbray (T4)
43446,9,McBee (K1),L. Allpress (J7),Van Buren (T1),Krupin (H4),Davis (D4)
43443,9,DeLuca (J14),Karvis & Crow (H1),Garcia (B8),Ferguson (E2),Reyes (D3)
43433,9,McQuade (Old Gym),Edwards (K3),Murphy (F5),"McCarthy, Harrold, Kohnke (New Gym)",McQuade (Old Gym)
43427,9,Vezey (Band Room),Bando (C4),Poole (J2),Espinoza (D5),Karvis & Crow (H1)
43417,9,Preciado (F3),Mauritz (C8),Phillips (A7),Bando (C4),Preciado (F3)
43416,9,R. Jones (T3),Mauritz (C8),Reyes (D3),Eid (J5),Dehnbostel (J13)
43413,9,McBee (K1),Huff (E3),Garcia (B8),Martin (J6),Vezey (Band Room)
43412,9,Alickovic (K5),Garcia (B8),R. Jones (T3),Edwards (K3),Reyes (D3)
43403,9,Byron (C1),Krider (C5),Martin (J6),J. Gonzalez (Black Box/Auditorium),Krider (C5)
43402,9,Espinoza (D5),Littrell (A1),Mowbray (T4),Alvidrez (C2),Reyes (D3)
43392,9,Brumbaugh (T2),Wolfe (Old Gym),Hudson (F2),Howard (N1),"McCarthy, Harrold, Kohnke (New Gym)"
43385,9,Van Buren (T1),Howard (N1),J. Gonzalez (Black Box/Auditorium),Huff (E3),Boyer (E6)
43384,9,"McCarthy, Harrold, Kohnke (New Gym)",Brumbaugh (T2),Ferguson (E2),McBee (K1),Secor (D8)
43376,9,Krider (C5),Nightingale (K4),Preciado (F3),McBee (K1),Davis (D4)
43375,9,Alvidrez (C2),Nightingale (K4),Wolfe (Old Gym),Brumbaugh (T2),Espinoza (D5)
43374,9,Murphy (F5),Karvis & Crow (H1),Siau (H4) **ROTC CADETS ONLY**,Reyes (D3),Kish (A3)
43365,9,Alickovic (K5),Van Buren (T1),Trayner-Hughes (B4),Krider (C5),Clements (J8) **ROTC CADETS ONLY**
43364,9,Krupin (H4),Littrell (A1),Karvis & Crow (H1),Krupin (H4),Bando (C4)
43348,9,Preciado (F3),Eid (J5),Jeffery (B2) **Credit Recovery Students Only**,Martin (J6),Reyes (D3)
43343,9,Davis (D4),Poole (J2),Jeffery (B2) **Credit Recovery Students Only**,Rodriguez (D1),Secor (D8)
43337,9,Howard (N1),Garcia (B8),Jeffery (B2) **Credit Recovery Students Only**,Preciado (F3),Brumbaugh (T2)
43335,9,Siau (H4) **ROTC CADETS ONLY**,Reyes (D3),Van Buren (T1),Mowbray (T4),Mowbray (T4)
43329,9,McBee (K1),Bando (C4),Byron (C1),J. Gonzalez (Black Box/Auditorium),Boyer (E6)
43327,9,Carrera (F7),Maddox (B11),Huff (E3),Rodriguez (D1),"McCarthy, Harrold, Kohnke (New Gym)"
43324,9,Martin (J6),Rodriguez (D1),Huff (E3),Murphy (F5),Carrera (F7)
43315,9,Howard (N1),Karvis & Crow (H1),Jeffery (B2) **Credit Recovery Students Only**,DeLuca (J14),R. Jones (T3)
43314,9,McBee (K1),Secor (D8),Maddox (B11),Karvis & Crow (H1),Bando (C4)
43313,9,Alickovic (K5),Rodriguez (D1),Karvis & Crow (H1),Miller (A4),Dehnbostel (J13)
43302,9,"McCarthy, Harrold, Kohnke (New Gym)",Poole (J2),McBee (K1),Littrell (A1),Krupin (H4)
43297,9,Doughty (F4),"McCarthy, Harrold, Kohnke (New Gym)",Hoover (B23),Brumbaugh (T2),Davis (D4)
43294,9,Alickovic (K5),Van Buren (T1),Krider (C5),Littrell (A1),DeLuca (J14)
43269,9,Byron (C1),Dehnbostel (J13),Huff (E3),"McCarthy, Harrold, Kohnke (New Gym)",Byron (C1)
