SID,Grade,Selection 1,Selection 2,Selection 3,Selection 4,Selection 5
39277,10,2,34,37,12,26
32255,12,16,34,15,30,6
42610,9,15,34,11,16,6
35177,11,36,34,23,37,13
32991,12,26,34,2,12,13
39906,12,15,34,35,39,13
41330,9,15,34,41,43,13
35250,11,15,34,21,43,13
34047,12,15,34,35,4,37
34042,12,13,34,11,1,2
38828,10,15,34,43,26,17
43294,11,13,34,43,3,17
32331,12,27,34,30,6,35
35785,11,13,34,28,2,35
34956,11,43,34,26,39,35
36427,11,15,34,4,30,35
39584,10,15,34,43,3,35
38927,10,15,34,28,26,1
40823,9,39,34,4,26,1
39373,10,24,34,10,39,1
42359,9,39,34,4,21,1
32106,12,36,34,11,30,1
39157,10,15,34,39,43,1
42715,11,4,34,13,3,1
40507,10,2,34,16,37,26
32963,12,4,34,3,14,41
42875,9,4,34,1,39,28
32334,12,39,34,3,4,28
43178,10,37,34,1,20,28
38179,10,39,34,4,3,28
42197,9,2,34,43,20,12
40477,10,20,34,40,21,27
33137,12,1,34,16,6,39
41257,9,10,34,3,39,21
39582,10,35,34,28,27,31
41230,9,31,34,27,14,22
41254,9,20,34,39,3,22
37784,12,9,34,41,6,30
42357,9,39,34,26,1,4
39756,10,12,34,16,29,33
39756,10,12,34,16,29,33
32415,12,1,34,39,15,43
42157,9,21,34,39,12,43
38482,10,15,34,7,2,0
36628,11,15,34,4,30,0
32415,12,1,34,0,0,0
42159,9,39,34,0,0,0
37176,12,16,34,0,0,0
38453,10,15,6,0,0,0
40915,9,28,6,30,39,34
41478,9,28,6,30,39,34
36184,11,13,6,12,36,34
40190,10,34,6,28,41,37
38555,10,2,6,41,32,37
42627,10,9,6,18,32,17
42617,9,9,6,8,25,17
42625,9,25,6,31,30,17
32631,12,26,6,25,35,15
42207,9,10,6,26,19,15
33105,12,43,6,14,22,15
42064,9,34,6,14,15,35
42290,9,34,6,14,15,35
38863,10,34,6,1,28,35
39468,10,15,6,26,39,35
39332,10,4,6,25,38,35
37365,12,13,6,1,4,35
39120,10,41,6,30,9,1
42364,9,16,6,39,38,1
35075,11,16,6,12,3,1
40789,9,16,6,36,41,26
32994,12,9,6,20,15,41
