SID,Ticket Type
42336,9
40931,9
41567,9
42503,9
40960,9
42004,9
42617,9
42313,9
39563,9
42627,9
39479,9
39549,9
40154,9
39351,9
38133,9
39558,9
43606,9
34975,9
43060,9
35117,9
43197,9
34947,9
37784,9
43475,9
32994,9
34092,9
43246,32
42091,32
39162,32
41999,32
40736,32
38170,32
39636,32
39946,32
39232,32
36783,32
35056,32
34867,32
40413,32
32008,32
33729,32
43266,32
43488,20
39334,20
43544,20
43474,20
38443,20
40477,20
40578,20
39924,20
43549,20
39460,20
38389,20
40226,20
34935,20
38145,20
38751,20
40087,20
37472,20
34809,20
35485,20
35492,20
34795,20
32266,20
32260,20
31996,20
32592,20
32348,20
32891,20
32993,20
32711,20
34763,20
43047,10
42221,10
42207,10
42200,10
40935,10
42395,10
43016,10
39612,10
41306,10
39867,10
40173,10
38169,10
39895,10
39735,10
39465,10
35645,10
35107,10
34769,10
43529,10
37036,10
35228,10
35151,10
35281,10
35813,10
40120,10
35233,10
31984,10
36956,10
34693,10
33150,10
32037,10
32268,10
42624,2
34774,2
35024,2
36519,2
35195,2
37874,2
35229,2
35411,2
35621,2
34815,2
32861,2
32899,2
32908,2
32852,2
32016,2
32472,2
33019,2
34339,2
32659,2
33941,2
32747,2
34637,2
34064,2
32579,2
31937,2
42640,37
41614,37
43105,37
42194,37
42528,37
40760,37
41320,37
41239,37
42834,37
41343,37
38826,37
39277,37
42795,37
43178,37
39116,37
39469,37
38753,37
36910,37
34932,13
39787,13
39438,13
36184,13
35761,13
36179,13
35924,13
35454,13
35785,13
43152,13
43294,13
34934,13
34967,13
36536,13
40594,13
37124,13
32858,13
32552,13
31987,13
34042,13
32880,13
33074,13
32024,13
37365,13
36812,13
31924,13
32371,13
43020,13
32887,13
34290,13
42131,24
42355,24
42693,24
41635,24
42917,24
39124,24
38322,24
39373,24
34925,24
43374,24
35049,24
35734,24
39994,24
34936,34
34746,34
35686,34
43574,34
37167,34
40243,34
34818,34
34863,34
34816,34
35362,34
34777,34
34764,34
35261,34
37173,34
34669,34
31992,34
36727,34
32576,34
32999,34
32265,34
32132,34
33051,34
32475,34
32998,34
34117,34
32832,34
34399,34
33831,34
33131,34
41412,25
42102,25
40793,25
40772,25
42080,25
42302,25
42246,25
42256,25
41329,25
42335,25
42061,25
42625,25
42825,25
39577,25
85392,25
39462,25
38094,25
39731,25
39450,25
39060,25
34886,25
36839,25
34827,25
33075,25
41703,25
42072,43
41783,43
37212,43
37183,43
37216,43
37200,43
40359,43
34956,43
34789,43
34930,43
40337,43
35399,43
32782,43
32508,43
40350,43
33031,43
32523,43
31983,43
32941,43
32945,43
33105,43
33088,43
32896,43
34288,43
32029,43
43384,31
38438,31
41230,31
42186,31
35199,31
37099,31
43018,31
40885,5
42203,5
43149,5
39604,5
34836,5
34766,5
32590,5
34035,5
43102,44
43365,44
41207,44
40781,44
42376,44
40835,44
41640,44
40903,44
42729,44
42082,44
42201,44
40808,44
42392,44
42921,44
42318,44
38160,44
39890,44
38263,44
38893,44
39235,44
40003,44
38736,44
40007,44
38552,44
43196,44
39537,44
38869,44
39328,44
39484,44
38816,44
42985,44
35360,44
31975,44
33443,44
32290,44
43489,17
41631,17
39202,17
38403,17
38183,17
39926,17
43402,17
39729,17
43080,17
39733,17
40082,17
34904,17
37095,17
41854,17
32655,17
41597,18
38791,18
39671,18
34942,18
35169,18
37114,18
42832,22
43315,22
41312,22
41565,22
43073,22
43174,22
40762,22
38344,22
43490,22
