SID,Ticket Type
40808,44
40903,44
42921,44
41207,44
42392,44
42376,44
40835,44
41640,44
42318,44
39144,44
39532,44
38893,44
38284,44
39598,44
39328,44
38552,44
39235,44
43196,44
40003,44
39484,44
40007,44
39537,44
38869,44
38837,44
38816,44
38736,44
35203,44
34910,44
35614,44
35168,44
35111,44
35360,44
31975,44
32290,44
33443,44
42724,14
41060,14
42195,14
41979,14
41336,14
42064,14
42290,14
43002,14
40784,14
42877,14
40878,14
42371,14
42196,14
40933,14
40909,14
42095,14
41244,14
43057,14
42141,14
42380,14
38074,14
39459,14
39447,14
42814,14
35213,14
37252,14
34761,14
36255,14
34491,14
32376,14
37206,14
33862,14
34121,14
42729,41
40880,41
40744,41
41590,41
42199,41
41420,41
42296,41
42152,41
42094,41
41071,41
41351,41
38132,41
37829,41
38123,41
39455,41
38555,41
38240,41
38615,41
38990,41
38620,41
38923,41
39435,41
39120,41
39401,41
39608,41
38122,41
37320,41
37436,41
35617,41
36810,41
34839,41
37687,41
43543,41
32826,41
42956,8
42235,8
43497,8
42373,8
38995,8
39578,8
37864,8
42785,8
35096,8
42268,9
41522,9
42336,9
42226,9
41047,9
42313,9
42617,9
41567,9
42004,9
42503,9
39520,9
39610,9
38174,9
40348,9
39563,9
43606,9
39351,9
39479,9
42627,9
39549,9
40154,9
39558,9
38133,9
35117,9
34975,9
43197,9
34947,9
43060,9
34092,9
32994,9
43475,9
37784,9
42340,42
42061,42
39944,42
39894,42
38666,42
32885,42
32020,42
37681,42
41318,21
42813,21
42233,21
42365,21
41582,21
43195,21
42359,21
41985,21
41361,21
42204,21
41952,21
42545,21
42514,21
41990,21
43176,21
40797,21
42678,21
42292,21
42374,21
41746,21
43460,21
42188,21
42157,21
43101,21
38924,21
39544,21
36642,21
34949,21
34904,21
34837,21
43242,22
41254,22
42368,22
42832,22
41328,22
42338,22
41565,22
43315,22
41312,22
43313,22
43174,22
43073,22
40762,22
39690,22
43490,22
38344,22
39114,22
35475,22
40549,22
35214,22
32660,22
33820,22
39339,20
43549,20
40226,20
39924,20
38751,20
40578,20
34935,20
40477,20
34826,20
35133,20
41925,20
34813,20
35259,20
36902,20
42793,20
34809,20
35492,20
35541,20
34795,20
35485,20
35553,20
32348,20
34763,20
32260,20
32266,20
31996,20
32711,20
