SID,Ticket Type
43541,espinoza (d5)
43402,espinoza (d5)
42098,espinoza (d5)
43080,espinoza (d5)
42795,espinoza (d5)
42916,espinoza (d5)
42385,espinoza (d5)
39121,espinoza (d5)
41661,espinoza (d5)
39619,espinoza (d5)
40578,espinoza (d5)
38893,espinoza (d5)
41389,espinoza (d5)
38931,espinoza (d5)
38990,espinoza (d5)
41420,espinoza (d5)
38555,espinoza (d5)
40380,espinoza (d5)
39144,espinoza (d5)
39114,espinoza (d5)
39888,espinoza (d5)
41330,espinoza (d5)
39529,espinoza (d5)
40477,espinoza (d5)
38875,espinoza (d5)
39458,espinoza (d5)
38311,espinoza (d5)
38384,espinoza (d5)
36783,espinoza (d5)
38131,espinoza (d5)
35404,espinoza (d5)
38132,espinoza (d5)
38157,espinoza (d5)
38378,espinoza (d5)
35658,espinoza (d5)
41962,carrera (f7)
43327,carrera (f7)
42005,carrera (f7)
42078,carrera (f7)
42099,carrera (f7)
42987,carrera (f7)
41934,carrera (f7)
42196,carrera (f7)
42746,carrera (f7)
42157,carrera (f7)
42797,carrera (f7)
40152,carrera (f7)
39246,carrera (f7)
40914,carrera (f7)
38575,carrera (f7)
38562,carrera (f7)
40988,carrera (f7)
40960,carrera (f7)
39117,carrera (f7)
38753,carrera (f7)
41332,carrera (f7)
38892,carrera (f7)
39023,carrera (f7)
35177,carrera (f7)
34937,carrera (f7)
36179,carrera (f7)
34888,carrera (f7)
34764,carrera (f7)
36972,carrera (f7)
37226,carrera (f7)
34766,carrera (f7)
35320,carrera (f7)
34117,carrera (f7)
42222,j. gonzalez (black box/auditorium)
42141,j. gonzalez (black box/auditorium)
43268,j. gonzalez (black box/auditorium)
42540,j. gonzalez (black box/auditorium)
42195,j. gonzalez (black box/auditorium)
42298,j. gonzalez (black box/auditorium)
41635,j. gonzalez (black box/auditorium)
39612,j. gonzalez (black box/auditorium)
40841,j. gonzalez (black box/auditorium)
39445,j. gonzalez (black box/auditorium)
39122,j. gonzalez (black box/auditorium)
39369,j. gonzalez (black box/auditorium)
39994,j. gonzalez (black box/auditorium)
40739,j. gonzalez (black box/auditorium)
41257,j. gonzalez (black box/auditorium)
39520,j. gonzalez (black box/auditorium)
40120,j. gonzalez (black box/auditorium)
39735,j. gonzalez (black box/auditorium)
40897,j. gonzalez (black box/auditorium)
39465,j. gonzalez (black box/auditorium)
39610,j. gonzalez (black box/auditorium)
39665,j. gonzalez (black box/auditorium)
40909,j. gonzalez (black box/auditorium)
38076,j. gonzalez (black box/auditorium)
34769,j. gonzalez (black box/auditorium)
35075,j. gonzalez (black box/auditorium)
36811,j. gonzalez (black box/auditorium)
35233,j. gonzalez (black box/auditorium)
35198,j. gonzalez (black box/auditorium)
35492,j. gonzalez (black box/auditorium)
32901,j. gonzalez (black box/auditorium)
32037,j. gonzalez (black box/auditorium)
33035,j. gonzalez (black box/auditorium)
34693,j. gonzalez (black box/auditorium)
33776,j. gonzalez (black box/auditorium)
32538,j. gonzalez (black box/auditorium)
42353,wolfe (old gym)
39866,wolfe (old gym)
38615,wolfe (old gym)
36642,wolfe (old gym)
34942,wolfe (old gym)
34806,wolfe (old gym)
37618,wolfe (old gym)
34979,wolfe (old gym)
36231,wolfe (old gym)
34867,wolfe (old gym)
37472,wolfe (old gym)
37687,wolfe (old gym)
36873,wolfe (old gym)
35385,wolfe (old gym)
38104,wolfe (old gym)
34865,wolfe (old gym)
35629,wolfe (old gym)
37437,wolfe (old gym)
33443,wolfe (old gym)
32887,wolfe (old gym)
33078,wolfe (old gym)
33075,wolfe (old gym)
32049,wolfe (old gym)
43142,"mccarthy, harrold, kohnke (new gym)"
42360,"mccarthy, harrold, kohnke (new gym)"
42255,"mccarthy, harrold, kohnke (new gym)"
42605,"mccarthy, harrold, kohnke (new gym)"
43302,"mccarthy, harrold, kohnke (new gym)"
42388,"mccarthy, harrold, kohnke (new gym)"
42380,"mccarthy, harrold, kohnke (new gym)"
42656,"mccarthy, harrold, kohnke (new gym)"
41938,"mccarthy, harrold, kohnke (new gym)"
42619,"mccarthy, harrold, kohnke (new gym)"
43554,"mccarthy, harrold, kohnke (new gym)"
41952,"mccarthy, harrold, kohnke (new gym)"
42985,"mccarthy, harrold, kohnke (new gym)"
42889,"mccarthy, harrold, kohnke (new gym)"
43019,"mccarthy, harrold, kohnke (new gym)"
42521,"mccarthy, harrold, kohnke (new gym)"
42307,"mccarthy, harrold, kohnke (new gym)"
42102,"mccarthy, harrold, kohnke (new gym)"
43384,"mccarthy, harrold, kohnke (new gym)"
39942,"mccarthy, harrold, kohnke (new gym)"
39795,"mccarthy, harrold, kohnke (new gym)"
41830,"mccarthy, harrold, kohnke (new gym)"
40801,"mccarthy, harrold, kohnke (new gym)"
39080,"mccarthy, harrold, kohnke (new gym)"
39618,"mccarthy, harrold, kohnke (new gym)"
39550,"mccarthy, harrold, kohnke (new gym)"
39376,"mccarthy, harrold, kohnke (new gym)"
40500,"mccarthy, harrold, kohnke (new gym)"
41515,"mccarthy, harrold, kohnke (new gym)"
39224,"mccarthy, harrold, kohnke (new gym)"
40089,"mccarthy, harrold, kohnke (new gym)"
41620,"mccarthy, harrold, kohnke (new gym)"
39374,"mccarthy, harrold, kohnke (new gym)"
38856,"mccarthy, harrold, kohnke (new gym)"
41412,"mccarthy, harrold, kohnke (new gym)"
37950,"mccarthy, harrold, kohnke (new gym)"
36184,"mccarthy, harrold, kohnke (new gym)"
34763,"mccarthy, harrold, kohnke (new gym)"
37339,"mccarthy, harrold, kohnke (new gym)"
35484,"mccarthy, harrold, kohnke (new gym)"
34798,"mccarthy, harrold, kohnke (new gym)"
37404,"mccarthy, harrold, kohnke (new gym)"
38482,"mccarthy, harrold, kohnke (new gym)"
35146,"mccarthy, harrold, kohnke (new gym)"
37365,"mccarthy, harrold, kohnke (new gym)"
35243,"mccarthy, harrold, kohnke (new gym)"
36519,"mccarthy, harrold, kohnke (new gym)"
34983,"mccarthy, harrold, kohnke (new gym)"
38204,"mccarthy, harrold, kohnke (new gym)"
34929,"mccarthy, harrold, kohnke (new gym)"
